,nid,cabinet,cname,NICaddr,x,y,z,class
0,0,c0-0,c0-0c0s0n0,0,0,0,0,service
1,1,c0-0,c0-0c0s0n1,1,0,0,0,service
2,2,c0-0,c0-0c0s1n0,4,0,0,1,dsl
3,3,c0-0,c0-0c0s1n1,5,0,0,1,dsl
4,4,c0-0,c0-0c0s2n0,8,0,0,2,dsl
5,5,c0-0,c0-0c0s2n1,9,0,0,2,dsl
6,6,c0-0,c0-0c0s3n0,12,0,0,3,dsl
7,7,c0-0,c0-0c0s3n1,13,0,0,3,dsl
8,8,c0-0,c0-0c0s4n0,16,0,0,4,dsl
9,9,c0-0,c0-0c0s4n1,17,0,0,4,dsl
10,10,c0-0,c0-0c0s5n0,20,0,0,5,dsl
11,11,c0-0,c0-0c0s5n1,21,0,0,5,dsl
12,12,c0-0,c0-0c0s6n0,24,0,0,6,xe
13,13,c0-0,c0-0c0s6n1,25,0,0,6,xe
14,14,c0-0,c0-0c0s7n0,28,0,0,7,xe
15,15,c0-0,c0-0c0s7n1,29,0,0,7,xe
16,16,c0-0,c0-0c1s7n0,32,0,0,8,xe
17,17,c0-0,c0-0c1s7n1,33,0,0,8,xe
18,18,c0-0,c0-0c1s6n0,36,0,0,9,xe
19,19,c0-0,c0-0c1s6n1,37,0,0,9,xe
20,20,c0-0,c0-0c1s5n0,40,0,0,10,xe
21,21,c0-0,c0-0c1s5n1,41,0,0,10,xe
22,22,c0-0,c0-0c1s4n0,44,0,0,11,xe
23,23,c0-0,c0-0c1s4n1,45,0,0,11,xe
24,24,c0-0,c0-0c1s3n0,48,0,0,12,xe
25,25,c0-0,c0-0c1s3n1,49,0,0,12,xe
26,26,c0-0,c0-0c1s2n0,52,0,0,13,xe
27,27,c0-0,c0-0c1s2n1,53,0,0,13,xe
28,28,c0-0,c0-0c1s1n0,56,0,0,14,xe
29,29,c0-0,c0-0c1s1n1,57,0,0,14,xe
30,30,c0-0,c0-0c1s0n0,60,0,0,15,xe
31,31,c0-0,c0-0c1s0n1,61,0,0,15,xe
32,32,c0-0,c0-0c2s0n0,64,0,0,16,xe
33,33,c0-0,c0-0c2s0n1,65,0,0,16,xe
34,34,c0-0,c0-0c2s1n0,68,0,0,17,xe
35,35,c0-0,c0-0c2s1n1,69,0,0,17,xe
36,36,c0-0,c0-0c2s2n0,72,0,0,18,xe
37,37,c0-0,c0-0c2s2n1,73,0,0,18,xe
38,38,c0-0,c0-0c2s3n0,76,0,0,19,xe
